Species,abbrev,lm_id,martini3,concentration
PC 36:3,PC 36:3,"['LMGP01011589', 'LMGP01012038', 'LMGP01011682', 'LMGP01011588', 'LMGP01010622', 'LMGP01011766', 'LMGP01010895', 'LMGP01011842', 'LMGP01011490', 'LMGP01010624', 'LMGP01011651', 'LMGP01011872', 'LMGP01011406', 'LMGP01012194', 'LMGP01012168', 'LMGP01011568', 'LMGP01012149', 'LMGP01010893', 'LMGP01010627', 'LMGP01011624']",['NA'],0.942470356140574
PC 36:4,PC 36:4,['LMGP01010937'],['DIPC'],1.10055965935251
PC 36:5,PC 36:5,"['LMGP01012182', 'LMGP01012152', 'LMGP01011903', 'LMGP01011604', 'LMGP01010633', 'LMGP01012069', 'LMGP01012130', 'LMGP01011305', 'LMGP01011712', 'LMGP01011932', 'LMGP01012139', 'LMGP01010695', 'LMGP01012210', 'LMGP01011626', 'LMGP01012234', 'LMGP01011683', 'LMGP01011625', 'LMGP01012232', 'LMGP01011653', 'LMGP01012131', 'LMGP01011407']",['NA'],0.839979944780581
PC 36:6,PC 36:6,"['LMGP01011684', 'LMGP01012233', 'LMGP01011713', 'LMGP01010960', 'LMGP01011627', 'LMGP01010512', 'LMGP01010956', 'LMGP01010952', 'LMGP01010954', 'LMGP01012099', 'LMGP01012235', 'LMGP01011654', 'LMGP01011933', 'LMGP01012135', 'LMGP01011492', 'LMGP01012134', 'LMGP01011655']",['NA'],0.0402603984967849
PC 38:2,PC 38:2,"['LMGP01011296', 'LMGP01011495', 'LMGP01011774', 'LMGP01011962', 'LMGP01011630', 'LMGP01010789', 'LMGP01011472', 'LMGP01010843', 'LMGP01011607', 'LMGP01011846', 'LMGP01011817', 'LMGP01010793', 'LMGP01010788', 'LMGP01012041', 'LMGP01011575', 'LMGP01012011', 'LMGP01010792', 'LMGP01010791', 'LMGP01010790']",['NA'],0.837302051301549
PC 38:3,PC 38:3,"['LMGP01011631', 'LMGP01012196', 'LMGP01011794', 'LMGP01012190', 'LMGP01010942', 'LMGP01010798', 'LMGP01010795', 'LMGP01012042', 'LMGP01011818', 'LMGP01011795', 'LMGP01010799', 'LMGP01010796', 'LMGP01011877', 'LMGP01011659', 'LMGP01012153', 'LMGP01011688', 'LMGP01011496', 'LMGP01011847', 'LMGP01011608']",['NA'],0.174818242304183
PC 38:4,PC 38:4,"['LMGP01011907', 'LMGP01011848', 'LMGP01010904', 'LMGP01012072', 'LMGP01012206', 'LMGP01012154', 'LMGP01011660', 'LMGP01011878', 'LMGP01011819', 'LMGP01012144', 'LMGP01011719', 'LMGP01012198', 'LMGP01012155', 'LMGP01010804', 'LMGP01011689', 'LMGP01011796', 'LMGP01011820', 'LMGP01012197', 'LMGP01010642', 'LMGP01011632', 'LMGP01010802', 'LMGP01011609']",['NA'],0.20619133752979
PC 38:5,PC 38:5,"['LMGP01011908', 'LMGP01011497', 'LMGP01012199', 'LMGP01011937', 'LMGP01012211', 'LMGP01012073', 'LMGP01011850', 'LMGP01012208', 'LMGP01011879', 'LMGP01010647', 'LMGP01010807', 'LMGP01012170', 'LMGP01012156', 'LMGP01011661', 'LMGP01010645', 'LMGP01010905', 'LMGP01011690', 'LMGP01010805', 'LMGP01011633', 'LMGP01011720', 'LMGP01012165', 'LMGP01011821', 'LMGP01012157', 'LMGP01011849']",['NA'],0.968738069010593
PC 38:7,PC 38:7,"['LMGP01011910', 'LMGP01011306', 'LMGP01011911', 'LMGP01011882', 'LMGP01011663', 'LMGP01010696', 'LMGP01011634', 'LMGP01011938', 'LMGP01011692', 'LMGP01012103', 'LMGP01011722']",['NA'],0.0553177346049358
PC 38:8,PC 38:8,"['LMGP01011664', 'LMGP01011693', 'LMGP01011723', 'LMGP01011912', 'LMGP01011940', 'LMGP01011939']",['NA'],0.0
